Label,ugz_txt_Municipio__c,ugz_txt_UnidadeFederativa__c,ugz_txt_MunicipioSemAcento__c,ugz_txt_UnidadeFederativaSemAcento__c,ugz_txt_MercadoEmpresarial__c,ugz_txt_MercadoRevenda__c,ugz_txt_Uf__c,ugz_txt_FilaNucleoEmpresarial__c,ugz_txt_FilaNucleoRevenda__c,ugz_txt_FilaNucleoIndustrialEnvasado__c,ugz_txt_MercadoIndustrial__c
5200159,Adelândia,GOIÁS,Adelandia,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5212055,Jesúpolis,GOIÁS,Jesupolis,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5207105,Diorama,GOIÁS,Diorama,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5203939,Buriti de Goiás,GOIÁS,Buriti De Goias,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5201454,Aparecida do Rio Doce,GOIÁS,Aparecida Do Rio Doce,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5202809,Avelinópolis,GOIÁS,Avelinopolis,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5215801,Palmelo,GOIÁS,Palmelo,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5212600,Mairipotaba,GOIÁS,Mairipotaba,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5214705,Nova América,GOIÁS,Nova America,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp,ugz_NUC_DF_TO_Dom,,NA
5211602,Ivolândia,GOIÁS,Ivolandia,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5205703,Córrego do Ouro,GOIÁS,Corrego Do Ouro,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5219506,Santa Rosa de Goiás,GOIÁS,Santa Rosa De Goias,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5212907,Marzagão,GOIÁS,Marzagao,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5213855,Morro Agudo de Goiás,GOIÁS,Morro Agudo De Goias,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5214804,Nova Aurora,GOIÁS,Nova Aurora,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5216908,Pilar de Goiás,GOIÁS,Pilar De Goias,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp,ugz_NUC_DF_TO_Dom,,NA
5206909,Davinópolis,GOIÁS,Davinopolis,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5220280,São Patrício,GOIÁS,Sao Patricio,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5200506,Aloândia,GOIÁS,Aloandia,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5209291,Guaraíta,GOIÁS,Guaraita,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5200209,Água Limpa,GOIÁS,Agua Limpa,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5204953,Campos Verdes,GOIÁS,Campos Verdes,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp,ugz_NUC_DF_TO_Dom,,NA
5209457,Guarinos,GOIÁS,Guarinos,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp,ugz_NUC_DF_TO_Dom,,NA
5212253,Lagoa Santa,GOIÁS,Lagoa Santa,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5213400,Moiporá,GOIÁS,Moipora,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5220058,São João da Paraúna,GOIÁS,Sao Joao Da Parauna,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5204201,Cachoeira de Goiás,GOIÁS,Cachoeira De Goias,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5201207,Anhanguera,GOIÁS,Anhanguera,GOIAS,Empresarial Sudeste,Centro Oeste,GO,ugz_NUC_Goiania_Emp, ugz_NUC_GO_Dom,,NA
5103403,Cuiabá,MATO GROSSO,Cuiaba,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5108402,Várzea Grande,MATO GROSSO,Varzea Grande,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107602,Rondonópolis,MATO GROSSO,Rondonopolis,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107909,Sinop,MATO GROSSO,Sinop,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107958,Tangará da Serra,MATO GROSSO,Tangara Da Serra,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5102504,Cáceres,MATO GROSSO,Caceres,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107925,Sorriso,MATO GROSSO,Sorriso,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105259,Lucas do Rio Verde,MATO GROSSO,Lucas Do Rio Verde,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107040,Primavera do Leste,MATO GROSSO,Primavera Do Leste,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5101803,Barra do Garças,MATO GROSSO,Barra Do Garcas,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5100250,Alta Floresta,MATO GROSSO,Alta Floresta,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106224,Nova Mutum,MATO GROSSO,Nova Mutum,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106752,Pontes e Lacerda,MATO GROSSO,Pontes E Lacerda,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5102678,Campo Verde,MATO GROSSO,Campo Verde,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105150,Juína,MATO GROSSO,Juina,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103254,Colniza,MATO GROSSO,Colniza,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5102637,Campo Novo do Parecis,MATO GROSSO,Campo Novo Do Parecis,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5104104,Guarantã do Norte,MATO GROSSO,Guaranta Do Norte,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106422,Peixoto de Azevedo,MATO GROSSO,Peixoto De Azevedo,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5101704,Barra do Bugres,MATO GROSSO,Barra Do Bugres,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105101,Juara,MATO GROSSO,Juara,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103205,Colíder,MATO GROSSO,Colider,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106505,Poconé,MATO GROSSO,Pocone,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103353,Confresa,MATO GROSSO,Confresa,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105622,Mirassol d'Oeste,MATO GROSSO,Mirassol D'Oeste,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5104807,Jaciara,MATO GROSSO,Jaciara,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107875,Sapezal,MATO GROSSO,Sapezal,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5108600,Vila Rica,MATO GROSSO,Vila Rica,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5100201,Água Boa,MATO GROSSO,Agua Boa,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106307,Paranatinga,MATO GROSSO,Paranatinga,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5101407,Aripuanã,MATO GROSSO,Aripuana,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103502,Diamantino,MATO GROSSO,Diamantino,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5102702,Canarana,MATO GROSSO,Canarana,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107305,São José do Rio Claro,MATO GROSSO,Sao Jose Do Rio Claro,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103304,Comodoro,MATO GROSSO,Comodoro,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106257,Nova Xavantina,MATO GROSSO,Nova Xavantina,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106232,Nova Olímpia,MATO GROSSO,Nova Olimpia,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103379,Cotriguaçu,MATO GROSSO,Cotriguacu,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5101902,Brasnorte,MATO GROSSO,Brasnorte,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5103007,Chapada dos Guimarães,MATO GROSSO,Chapada Dos Guimaraes,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5100300,Alto Araguaia,MATO GROSSO,Alto Araguaia,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107107,São José dos Quatro Marcos,MATO GROSSO,Sao Jose Dos Quatro Marcos,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107065,Querência,MATO GROSSO,Querencia,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5106372,Pedra Preta,MATO GROSSO,Pedra Preta,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107701,Rosário Oeste,MATO GROSSO,Rosario Oeste,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5107800,Santo Antônio de Leverger,MATO GROSSO,Santo Antonio De Leverger,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5101258,Araputanga,MATO GROSSO,Araputanga,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5102603,Campinápolis,MATO GROSSO,Campinapolis,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105606,Matupá,MATO GROSSO,Matupa,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105176,Juruena,MATO GROSSO,Juruena,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
5105507,Vila Bela da Santíssima Trindade,MATO GROSSO,Vila Bela Da Santissima Trindade,MATO GROSSO,Empresarial Sudeste,Centro Oeste,MT,ugz_NUC_Goiania_Emp,ugz_NUC_MT_Dom,,NA
